imagen,circularidad,compacidad,aspect_ratio,media_intensidad,std_intensidad,entropia,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,clase
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_05_Pro.jpg,0.08929154832132093,140.73415513548062,0.977099232911835,168.85641734616144,47.05097222960913,6.843623161315918,0.4804912384470313,0.06816225552588907,0.07289910525041576,0.019075464921793014,0.0005151292146100609,-0.0007226932977266998,-0.0004905491674906125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08179330080747604,0.8537934422492981,0.06413114070892334,0.00028214315534569323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05039076879620552,0.06757328659296036,0.06170471012592316,0.062212567776441574,0.05688006058335304,0.04480433464050293,0.03185396268963814,0.031430747359991074,0.029737889766693115,0.02578788436949253,0.029201816767454147,0.031797535717487335,0.06009649112820625,0.41652795672416687,0.0,0.0,0.0,0.0,0.0,0.0,0.0003950004174839705,0.01611037366092205,0.03608610853552818,0.007476793602108955,0.003921790048480034,0.0029060745146125555,0.00679964991286397,0.029032530263066292,0.08317580074071884,0.8140958547592163,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_10_Pro.jpg,0.17251687629391632,72.84139896418792,0.9910447731610604,196.84492246123062,46.694503122751684,6.559838771820068,0.17126831174194582,2.1142204744335508e-05,1.1165842749678994e-06,3.344849217644278e-06,1.0948563376294279e-12,1.371382736031493e-08,-6.370742530881494e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699967831373215,0.8615925312042236,0.02140776254236698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8852954680332914e-05,0.08420386910438538,0.15903539955615997,0.1253567934036255,0.08651384711265564,0.08326222002506256,0.07212429493665695,0.03404643386602402,0.022790806367993355,0.017655886709690094,0.01500750333070755,0.014742664992809296,0.017243916168808937,0.028852662071585655,0.23910485208034515,0.0,0.0,0.0,0.0,0.0,0.0002059853432001546,0.0022069858387112617,0.012153135612607002,0.024747667834162712,0.003619456896558404,0.0016773092793300748,0.001853868132457137,0.006900508888065815,0.02156960777938366,0.051231499761343,0.873833954334259,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_15_Pro.jpg,0.19692610670885147,63.812618977798174,1.0103092757466257,197.49192199100702,44.26916511551182,6.631281852722168,0.16845484036001523,2.8945948332701258e-05,1.0752499543879992e-05,2.78161602397187e-07,3.1699767392247627e-13,-1.3113190709078936e-09,-3.6184598721908507e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.3071212379145436e-05,0.11689584702253342,0.8673925399780273,0.015698526054620743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028756665415130556,0.06816636770963669,0.10970668494701385,0.09693610668182373,0.12290860712528229,0.12450329214334488,0.08604779094457626,0.03642946854233742,0.02331904135644436,0.019476106390357018,0.01670500822365284,0.017123287543654442,0.018325839191675186,0.02454773522913456,0.23551709949970245,0.0,0.0,0.0,0.0,0.0,9.149848483502865e-05,0.0019214681815356016,0.012574505992233753,0.02577642910182476,0.004718707408756018,0.00198682420887053,0.0015816166996955872,0.002692669630050659,0.010875248350203037,0.04154030978679657,0.8962407112121582,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_21_Pro.jpg,0.6394645982129529,19.65139375864734,0.9999999973821989,198.22244870226933,41.81502398113521,6.601688385009766,0.16615461512639296,3.38256044737042e-05,8.215700328231079e-07,3.2170221203185056e-08,2.329005998426558e-15,1.84781356034772e-10,-4.682824176397305e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10273134708404541,0.8908078074455261,0.006460858043283224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044472445733845234,0.04366946965456009,0.10052008181810379,0.08306464552879333,0.08862370252609253,0.14811794459819794,0.13335557281970978,0.043521229177713394,0.02549753524363041,0.020667333155870438,0.019110798835754395,0.019864359870553017,0.02280448190867901,0.03682565689086914,0.2139124572277069,0.0,0.0,1.2353457350400276e-05,0.0,6.176728493301198e-05,0.0005311986315064132,0.0020877341739833355,0.01136518083512783,0.01925903931260109,0.008005039766430855,0.005398460663855076,0.0031377780251204967,0.002124794526025653,0.009190971963107586,0.038073353469371796,0.9007523059844971,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_26_Pro.jpg,0.6694771201483036,18.77042580844885,0.9999999972899729,197.51199534020168,37.84309282676544,6.415055751800537,0.1661917260416093,1.3381994747720938e-05,2.627108845595017e-07,1.4188284298254868e-08,-7.302157406463558e-16,5.188734708073426e-11,-4.659845304618113e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07998106628656387,0.9143034219741821,0.005715534090995789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008640042506158352,0.04636742174625397,0.09438518434762955,0.08988314121961594,0.11702889204025269,0.21081946790218353,0.050541821867227554,0.029075199738144875,0.021272465586662292,0.017328625544905663,0.01852997951209545,0.02028953842818737,0.02991250716149807,0.24592570960521698,0.0,0.0,0.0,3.6404675483936444e-05,0.00016988847346510738,0.0007523632957600057,0.0031429368536919355,0.008033297955989838,0.013166356831789017,0.004999575205147266,0.0016867498634383082,0.0018566383514553308,0.0016867498634383082,0.006977562792599201,0.03335881605744362,0.9241326451301575,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_31_Pro.jpg,0.7016990744242684,17.90848965350699,1.0133333306311112,184.2381739334271,37.92626044645275,6.3507466316223145,0.16596187859266082,1.7681545254900477e-05,4.917964872354932e-07,9.008530963626277e-09,3.5175719602830266e-16,-3.453116168027001e-11,4.85599615853465e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06883497536182404,0.91509610414505,0.016068916767835617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011720581678673625,0.011826066300272942,0.03366151079535484,0.078422412276268,0.21543601155281067,0.08694326877593994,0.04806610569357872,0.03455227240920067,0.030473511666059494,0.02849273383617401,0.0325363352894783,0.044784341007471085,0.3536333739757538,0.0,0.0,0.0,1.1720580914698076e-05,0.00016408813826274127,0.0014299108879640698,0.004488982725888491,0.008544303476810455,0.017944209277629852,0.007489451672881842,0.0036802624817937613,0.010396155528724194,0.0156704168766737,0.010724332183599472,0.03470464050769806,0.8847514986991882,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_36_Pro.jpg,0.6952492854849647,18.074625715634607,1.010389607765222,187.17296108726418,39.553301769620006,6.210840225219727,0.16603310134736463,1.0493122937902498e-05,6.154428824447984e-07,8.555290634037383e-09,-2.9791524672718e-16,9.434092790754136e-12,-5.446366357441733e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06841015815734863,0.9203616380691528,0.01121650543063879,1.1696043657138944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011696042929543182,0.0029824909288436174,0.015216552652418613,0.049825143069028854,0.08837530016899109,0.28741857409477234,0.0720476284623146,0.037123240530490875,0.02877226658165455,0.027193300426006317,0.02628100849688053,0.03011731058359146,0.04166130721569061,0.2928689122200012,0.0,0.0,1.1696043657138944e-05,2.3392087314277887e-05,0.00025731296045705676,0.001473701442591846,0.0036374693736433983,0.01079544797539711,0.019473912194371223,0.008292494341731071,0.007146282587200403,0.0114036425948143,0.0051462589763104916,0.009333442896604538,0.0323980413377285,0.8906068801879883,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_41_Pro.jpg,0.6539857394741188,19.21505295253752,0.9903225774505723,191.8238487906609,39.966415969740304,6.122988224029541,0.16615702030298235,4.085016479990355e-06,2.5481847883608098e-08,5.859014473040853e-09,8.360338190587274e-18,-1.0682324117476462e-11,-7.110015288970186e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617254339158535,0.9209195375442505,0.01735503599047661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1985521268798038e-05,0.005657166242599487,0.020279502496123314,0.03433851897716522,0.059460170567035675,0.09571637213230133,0.31641775369644165,0.06684325635433197,0.03183354437351227,0.02196946181356907,0.017810484394431114,0.01836181804537773,0.02240093983709812,0.030850732699036598,0.25804826617240906,0.0,1.1985521268798038e-05,7.191312761278823e-05,0.00019176834030076861,0.0006711892201565206,0.0012345087016001344,0.0018457702826708555,0.006556080188602209,0.01119447685778141,0.0037274970673024654,0.009612387977540493,0.011350288987159729,0.0057650357484817505,0.012776565738022327,0.03717908635735512,0.8978114724159241,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_47_Pro.jpg,0.6931231347368872,18.13006951350611,0.9890710355489862,191.79630807638299,42.118389827362286,6.426669597625732,0.16581135103044364,4.412432333708041e-06,8.411969565880967e-07,2.2240462119250004e-08,2.4031240040156404e-15,-4.5945650460168934e-11,-1.8652042484816298e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07841137051582336,0.9001884460449219,0.021400194615125656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008797724731266499,0.031914256513118744,0.05816340073943138,0.07086189091205597,0.1555984914302826,0.2332417219877243,0.05121403932571411,0.02942976914346218,0.023296566680073738,0.01957583613693714,0.0191197469830513,0.02012794464826584,0.025973090901970863,0.2526855170726776,0.0,0.0,0.0,0.0,2.4004704755498096e-05,0.00031206116545945406,0.001956383464857936,0.011294214054942131,0.022828474640846252,0.0050889975391328335,0.002448479877784848,0.001992390491068363,0.0041168066672980785,0.01634720340371132,0.04234429821372032,0.8912466764450073,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_52_Pro.jpg,0.4293205418166278,29.27036885080124,0.9947780652877858,196.6684145248241,42.85434794116801,6.587967872619629,0.16630268452600416,3.914535259611999e-06,1.0711345221348318e-05,3.0214767576208864e-07,4.586849798344862e-13,3.8245960154675027e-10,-2.9166795503928116e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10024191439151764,0.8877113461494446,0.012046713382005692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912013537250459e-05,0.026672232896089554,0.10267336666584015,0.09492465853691101,0.09125293046236038,0.1440693587064743,0.13302960991859436,0.04263627901673317,0.024731988087296486,0.02077781781554222,0.019672613590955734,0.02005329541862011,0.02092517726123333,0.030712364241480827,0.22781918942928314,0.0,0.0,2.4560067686252296e-05,6.140016921563074e-05,0.00022104060917627066,0.0009087225189432502,0.0018542851321399212,0.008878464810550213,0.02252158150076866,0.004764653276652098,0.0020016455091536045,0.0018174450378865004,0.002382326638326049,0.012537914328277111,0.03768742457032204,0.904338538646698,Cuadrados
